Payment type,Month,Tips average amount	
Cash,2020-01,0.000341215813481	
Credit card,2020-01,2.98575676871	
Dispute,2020-01,0.0374259618046	
No charge,2020-01,0.0114273071289	
Cash,2020-02,0.000350013650452	
Credit card,2020-02,2.97187182431	
Dispute,2020-02,0.0510834657752	
No charge,2020-02,0.00734125128589	
Cash,2020-03,0.000712945924199	
Credit card,2020-03,2.90517563675	
Dispute,2020-03,0.113105268606	
No charge,2020-03,0.0120244102805	
Cash,2020-04,0.000165765157995	
Credit card,2020-04,2.52262024293	
Dispute,2020-04,0.0155724637681	
No charge,2020-04,0.0119353729804	
Cash,2020-05,0.000287836837633	
Credit card,2020-05,2.58859057516	
Dispute,2020-05,0.0102368573079	
No charge,2020-05,0.00331808943089	
Cash,2020-06,0.000416933020811	
Credit card,2020-06,2.74263017741	
Dispute,2020-06,0.047436235708	
No charge,2020-06,0.00521739130435	
Unknown,2020-06,0.0	
Cash,2020-07,0.000236769980375	
Credit card,2020-07,2.65467485917	
Dispute,2020-07,0.0536061612806	
No charge,2020-07,0.00727779407451	
Cash,2020-08,0.000159909658711	
Credit card,2020-08,2.65805490515	
Dispute,2020-08,0.0329627862595	
No charge,2020-08,0.0234222107171	
Cash,2020-09,0.00018862756981	
Credit card,2020-09,2.64892069309	
Dispute,2020-09,0.0395064420218	
No charge,2020-09,0.0110387633212	
Cash,2020-10,0.000201526717557	
Credit card,2020-10,2.63312243404	
Dispute,2020-10,0.0511302211302	
No charge,2020-10,0.00696934705018	
Cash,2020-11,0.000333789118812	
Credit card,2020-11,2.62147305951	
Dispute,2020-11,0.0486005684668	
No charge,2020-11,0.00803256445047	
Cash,2020-12,0.000192277503056	
Credit card,2020-12,2.6518182369	
Dispute,2020-12,0.0280569540592	
No charge,2020-12,0.00979034941764	
